level, duration, hits, total_ducks, score, ratio
1, 60, 51.0, 52, 1, 0.9807692307692307
2, 60, 58.0, 58, 2, 1.0
3, 60, 54.0, 55, 3, 0.9818181818181818
4, 60, 51.0, 51, 4, 1.0
5, 60, 51.0, 51, 5, 1.0
6, 60, 37.0, 37, 6, 1.0
7, 60, 34.0, 35, 7, 0.9714285714285714
8, 60, 44.0, 45, 8, 0.9777777777777777
9, 60, 26.0, 27, 9, 0.9629629629629629
10, 60, 19.0, 20, 10, 0.95
11, 60, 16.0, 17, 11, 0.9411764705882353
12, 60, 32.0, 32, 12, 1.0
13, 60, 30.0, 31, 13, 0.967741935483871
14, 60, 59.0, 59, 14, 1.0
15, 60, 58.0, 59, 15, 0.9830508474576272
16, 60, 40.0, 44, 16, 0.9090909090909091
17, 60, 47.0, 50, 17, 0.94
18, 60, 45.0, 49, 18, 0.9183673469387755
19, 60, 58.0, 59, 19, 0.9830508474576272
20, 60, 24.0, 30, 20, 0.8
21, 60, 26.0, 29, 21, 0.896551724137931
22, 60, 15.0, 22, 22, 0.6818181818181818
23, 60, 52.0, 53, 23, 0.9811320754716981
24, 60, 31.0, 33, 24, 0.9393939393939394
25, 60, 36.0, 39, 25, 0.9230769230769231
26, 60, 45.0, 48, 26, 0.9375
27, 60, 54.0, 56, 27, 0.9642857142857143
28, 60, 48.0, 51, 28, 0.9411764705882353
29, 60, 56.0, 59, 29, 0.9491525423728814
30, 60, 58.0, 59, 30, 0.9830508474576272
31, 60, 59.0, 59, 31, 1.0
32, 60, 57.0, 59, 32, 0.9661016949152542
33, 60, 57.0, 59, 33, 0.9661016949152542
34, 60, 55.0, 58, 34, 0.9482758620689655
35, 60, 48.0, 55, 35, 0.8727272727272727
36, 60, 43.0, 49, 36, 0.8775510204081632
37, 60, 58.0, 58, 37, 1.0
38, 60, 57.0, 59, 38, 0.9661016949152542
39, 60, 56.0, 59, 39, 0.9491525423728814
40, 60, 55.0, 59, 40, 0.9322033898305084
41, 60, 53.0, 58, 41, 0.9137931034482759
42, 60, 51.0, 57, 42, 0.8947368421052632
43, 60, 46.0, 54, 43, 0.8518518518518519
44, 60, 51.0, 56, 44, 0.9107142857142857
45, 60, 37.0, 44, 45, 0.8409090909090909
46, 60, 28.0, 38, 46, 0.7368421052631579
47, 60, 38.0, 44, 47, 0.8636363636363636
48, 60, 51.0, 55, 48, 0.9272727272727272
49, 60, 40.0, 48, 49, 0.8333333333333334
50, 60, 47.0, 51, 50, 0.9215686274509803
51, 60, 59.0, 59, 51, 1.0
52, 60, 59.0, 59, 52, 1.0
53, 60, 57.0, 59, 53, 0.9661016949152542
54, 60, 56.0, 59, 54, 0.9491525423728814
55, 60, 57.0, 59, 55, 0.9661016949152542
56, 60, 52.0, 56, 56, 0.9285714285714286
57, 60, 51.0, 56, 57, 0.9107142857142857
58, 60, 42.0, 47, 58, 0.8936170212765957
59, 60, 56.0, 59, 59, 0.9491525423728814
60, 60, 54.0, 57, 60, 0.9473684210526315
61, 60, 56.0, 59, 61, 0.9491525423728814
62, 60, 58.0, 59, 62, 0.9830508474576272
63, 60, 56.0, 59, 63, 0.9491525423728814
64, 60, 57.0, 59, 64, 0.9661016949152542
65, 60, 57.0, 59, 65, 0.9661016949152542
66, 60, 55.0, 58, 66, 0.9482758620689655
67, 60, 53.0, 56, 67, 0.9464285714285714
68, 60, 53.0, 55, 68, 0.9636363636363636
69, 60, 43.0, 49, 69, 0.8775510204081632
70, 60, 57.0, 58, 70, 0.9827586206896551
71, 60, 49.0, 56, 71, 0.875
72, 60, 52.0, 57, 72, 0.9122807017543859
73, 60, 39.0, 47, 73, 0.8297872340425532
74, 60, 57.0, 58, 74, 0.9827586206896551
75, 60, 45.0, 50, 75, 0.9
76, 60, 41.0, 46, 76, 0.8913043478260869
77, 60, 56.0, 58, 77, 0.9655172413793104
78, 60, 41.0, 47, 78, 0.8723404255319149
79, 60, 30.0, 36, 79, 0.8333333333333334
80, 60, 30.0, 37, 80, 0.8108108108108109
81, 60, 41.0, 47, 81, 0.8723404255319149
82, 60, 43.0, 48, 82, 0.8958333333333334
83, 60, 42.0, 47, 83, 0.8936170212765957
84, 60, 58.0, 59, 84, 0.9830508474576272
85, 60, 59.0, 59, 85, 1.0
86, 60, 58.0, 59, 86, 0.9830508474576272
87, 60, 56.0, 58, 87, 0.9655172413793104
88, 60, 58.0, 59, 88, 0.9830508474576272
89, 60, 54.0, 58, 89, 0.9310344827586207
90, 60, 55.0, 57, 90, 0.9649122807017544
91, 60, 39.0, 44, 91, 0.8863636363636364
92, 60, 53.0, 57, 92, 0.9298245614035088
93, 60, 56.0, 59, 93, 0.9491525423728814
94, 60, 58.0, 58, 94, 1.0
95, 60, 58.0, 59, 95, 0.9830508474576272
96, 60, 58.0, 59, 96, 0.9830508474576272
97, 60, 57.0, 59, 97, 0.9661016949152542
98, 60, 55.0, 59, 98, 0.9322033898305084
99, 60, 58.0, 59, 99, 0.9830508474576272
100, 60, 46.0, 51, 100, 0.9019607843137255
101, 60, 46.0, 52, 101, 0.8846153846153846
102, 60, 26.0, 33, 102, 0.7878787878787878
103, 60, 55.0, 59, 103, 0.9322033898305084
104, 60, 56.0, 59, 104, 0.9491525423728814
105, 60, 57.0, 59, 105, 0.9661016949152542
106, 60, 58.0, 59, 106, 0.9830508474576272
107, 60, 57.0, 58, 107, 0.9827586206896551
108, 60, 58.0, 59, 108, 0.9830508474576272
109, 60, 57.0, 58, 109, 0.9827586206896551
110, 60, 57.0, 58, 110, 0.9827586206896551
111, 60, 46.0, 52, 111, 0.8846153846153846
112, 60, 53.0, 57, 112, 0.9298245614035088
113, 60, 29.0, 36, 113, 0.8055555555555556
114, 60, 53.0, 57, 114, 0.9298245614035088
115, 60, 44.0, 49, 115, 0.8979591836734694
116, 60, 53.0, 57, 116, 0.9298245614035088
117, 60, 57.0, 59, 117, 0.9661016949152542
118, 60, 58.0, 59, 118, 0.9830508474576272
119, 60, 58.0, 59, 119, 0.9830508474576272
120, 60, 55.0, 59, 120, 0.9322033898305084
121, 60, 56.0, 59, 121, 0.9491525423728814
122, 60, 39.0, 46, 122, 0.8478260869565217
123, 60, 54.0, 58, 123, 0.9310344827586207
124, 60, 46.0, 51, 124, 0.9019607843137255
125, 60, 56.0, 58, 125, 0.9655172413793104
126, 60, 52.0, 56, 126, 0.9285714285714286
127, 60, 55.0, 57, 127, 0.9649122807017544
128, 60, 59.0, 59, 128, 1.0
129, 60, 37.0, 47, 129, 0.7872340425531915
130, 60, 58.0, 59, 130, 0.9830508474576272
131, 60, 55.0, 59, 131, 0.9322033898305084
132, 60, 58.0, 59, 132, 0.9830508474576272
133, 60, 25.0, 30, 133, 0.8333333333333334
