
level, duration, hits, total_ducks, score, ratio
1, 60, 48.0, 48, 1, 1.0
level, duration, hits, total_ducks, score, ratio
level, duration, hits, total_ducks, score, ratio
level, duration, hits, total_ducks, score, ratio
1, 60, 47.0, 48, 1, 0.9791666666666666
2, 60, 55.0, 56, 2, 0.9821428571428571
3, 60, 55.0, 55, 3, 1.0
4, 60, 51.0, 52, 4, 0.9807692307692307
5, 60, 47.0, 48, 5, 0.9791666666666666
6, 60, 28.0, 29, 6, 0.9655172413793104
7, 60, 35.0, 36, 7, 0.9722222222222222
8, 60, 47.0, 48, 8, 0.9791666666666666
9, 60, 38.0, 38, 9, 1.0
10, 60, 30.0, 31, 10, 0.967741935483871
11, 60, 24.0, 25, 11, 0.96
12, 60, 34.0, 35, 12, 0.9714285714285714
13, 60, 35.0, 36, 13, 0.9722222222222222
14, 60, 58.0, 59, 14, 0.9830508474576272
15, 60, 59.0, 59, 15, 1.0
16, 60, 53.0, 55, 16, 0.9636363636363636
17, 60, 44.0, 49, 17, 0.8979591836734694
18, 60, 35.0, 41, 18, 0.8536585365853658
19, 60, 58.0, 59, 19, 0.9830508474576272
20, 60, 16.0, 22, 20, 0.7272727272727273
21, 60, 16.0, 21, 21, 0.7619047619047619
22, 60, 16.0, 21, 22, 0.7619047619047619
23, 60, 42.0, 45, 23, 0.9333333333333333
24, 60, 38.0, 41, 24, 0.926829268292683
25, 60, 50.0, 51, 25, 0.9803921568627451
26, 60, 34.0, 38, 26, 0.8947368421052632
27, 60, 58.0, 58, 27, 1.0
28, 60, 48.0, 51, 28, 0.9411764705882353
29, 60, 58.0, 59, 29, 0.9830508474576272
30, 60, 59.0, 59, 30, 1.0
31, 60, 58.0, 59, 31, 0.9830508474576272
32, 60, 58.0, 59, 32, 0.9830508474576272
33, 60, 56.0, 59, 33, 0.9491525423728814
34, 60, 57.0, 59, 34, 0.9661016949152542
35, 60, 52.0, 56, 35, 0.9285714285714286
36, 60, 48.0, 53, 36, 0.9056603773584906
37, 60, 56.0, 58, 37, 0.9655172413793104
38, 60, 57.0, 59, 38, 0.9661016949152542
39, 60, 57.0, 59, 39, 0.9661016949152542
40, 60, 56.0, 59, 40, 0.9491525423728814
41, 60, 53.0, 58, 41, 0.9137931034482759
42, 60, 44.0, 52, 42, 0.8461538461538461
43, 60, 48.0, 55, 43, 0.8727272727272727
44, 60, 52.0, 56, 44, 0.9285714285714286
45, 60, 56.0, 57, 45, 0.9824561403508771
46, 60, 37.0, 45, 46, 0.8222222222222222
47, 60, 34.0, 42, 47, 0.8095238095238095
48, 60, 49.0, 55, 48, 0.8909090909090909
49, 60, 46.0, 52, 49, 0.8846153846153846
50, 60, 45.0, 54, 50, 0.8333333333333334
51, 60, 59.0, 59, 51, 1.0
52, 60, 58.0, 58, 52, 1.0
